s2s_policy_name,ike_version,ike_policy,preshared_key,device_name,device_interface_name,protected_network_name,remote_device_name,remote_device_ip,is_dynamic_ip,remote_protected_network_name
EVICORE-QA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EVICORE-QA_PEER,40.70.166.144,FALSE,IPv4-Private-172.16.0.0-12
MRO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MRO_PEER,216.83.182.33,FALSE,IPv4-Private-172.16.0.0-12
PRESSGANEY,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PRESSGANEY_PEER,20.186.81.180,FALSE,IPv4-Private-172.16.0.0-12
APPOINTMENTPASS-AWS-2020,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,APPOINTMENTPASS-AWS-2020_PEER,52.44.45.58,FALSE,IPv4-Private-172.16.0.0-12
VELOCITY-BNA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,VELOCITY-BNA_PEER,144.34.65.85,FALSE,IPv4-Private-172.16.0.0-12
EPATH-LOGIC,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EPATH-LOGIC_PEER,3.225.207.69,FALSE,IPv4-Private-172.16.0.0-12
URG,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,URG_PEER,24.104.142.126,FALSE,IPv4-Private-172.16.0.0-12
PHILIPS-SLEEP-TEST,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHILIPS-SLEEP-TEST_PEER,216.243.71.209,FALSE,IPv4-Private-172.16.0.0-12
PHILIPS-SLEEP-PROD,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHILIPS-SLEEP-PROD_PEER,54.173.224.252,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-UNIT2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-UNIT2_PEER,107.91.178.114,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-UNIT3,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-UNIT3_PEER,166.165.15.198,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-UNIT4,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-UNIT4_PEER,107.91.178.70,FALSE,IPv4-Private-172.16.0.0-12
CLINISYNC-2020,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CLINISYNC-2020_PEER,209.143.81.63,FALSE,IPv4-Private-172.16.0.0-12
IAGH,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,IAGH_PEER,34.197.66.239,FALSE,IPv4-Private-172.16.0.0-12
SCHOOL-BASED-HEALTH-VAN,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SCHOOL-BASED-HEALTH-VAN_PEER,166.152.191.187,FALSE,IPv4-Private-172.16.0.0-12
SCHOOL-BASED-HEALTH-VAN-3,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SCHOOL-BASED-HEALTH-VAN-3_PEER,166.163.159.16,FALSE,IPv4-Private-172.16.0.0-12
EPIC-CORE-DR,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,EPIC-CORE-DR_PEER,148.51.132.130,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-TRANSPORT2,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-TRANSPORT2_PEER,166.152.126.45,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-TRANSPORT3,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-TRANSPORT3_PEER,107.89.142.80,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-CLINICAL-TRANSPORT4,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-CLINICAL-TRANSPORT4_PEER,166.250.76.233,FALSE,IPv4-Private-172.16.0.0-12
ALTA-PARTNERS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ALTA-PARTNERS_PEER,147.0.191.26,FALSE,IPv4-Private-172.16.0.0-12
PHILIPS-HSP,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHILIPS-HSP_PEER,52.72.188.154,FALSE,IPv4-Private-172.16.0.0-12
ARAMARK-EUCLID-MICROMARKET,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,ARAMARK-EUCLID-MICROMARKET_PEER,63.40.206.39,FALSE,IPv4-Private-172.16.0.0-12
